Function,Instance,Dimensions,NP,CR,F,MuSt,CRSt,Local Iterations,Workers,Evaluations,Migrations,Global Time,Chromosome,Target,Score,Stop Reason,Restarts
16,2,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,318.7323069999984,(2.67815619006;-4.44635286483;2.42622142697;-3.23249840525),-355.21999999,-355.053686249,0,3
16,3,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,319.9841229999947,(-1.71600393291;3.35241452776;0.0868881728278;1.59196410615),99.17000001,99.2425906861,0,3
17,1,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,219.75739639999665,(3.65634632347;2.54912228772;-1.52952294103;1.47003074001),-16.93999999,-16.9383430617,0,3
17,2,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,232.2519295999955,(-0.188296887219;1.77948369042;-0.820339384878;-0.0352511168227),18.81000001,18.8142110488,0,3
17,3,4,80,0.5,0.6,differenceVector,exponential,150,4,228080,19,237.53247779999947,(-3.55958047461;3.77501664951;-0.456645733459;2.57211971979),273.15000001,273.183296919,0,3
18,1,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,237.10824449999927,(3.65837870367;2.5573312183;-1.49456218465;1.15648811306),-16.93999999,-16.851567835,0,3
18,2,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,248.16824669999914,(-0.255083767864;1.79404906689;-0.849721139184;0.0151557681339),18.81000001,18.863579042,0,3
18,3,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,253.701046400005,(-3.54304154913;3.82938735857;-0.459513875091;2.63518280291),273.15000001,273.227441725,0,3
19,1,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,235.2035915000015,(0.100372502399;-0.414573955656;0.883255740131;0.840517758241),-102.54999999,-102.476571824,0,3
19,2,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,244.0810874999952,(-1.48213373242;-1.03408583437;0.0898274946546;-0.0779048003231),71.69000000999999,71.7169670101,0,3
19,3,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,250.7065201000005,(-0.551828708786;0.0900622299951;0.168568709579;0.420815045916),214.01000001,214.105274409,0,3
20,1,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,208.1507070000007,(-2.10488191332;2.10446632254;2.10478774211;-2.10488308633),-546.49999999,-546.499994898,0,3
20,2,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,223.45292119999795,(-2.10490333316;2.10465386975;-2.10529367554;-2.105963448),1000.00000001,1000.000202,0,3
20,3,4,80,0.5,0.6,differenceVector,exponential,150,4,240080,20,225.98651059999975,(-2.10618623956;2.1024103153;2.10521562619;2.10423865935),208.38000001,208.380178711,0,3
21,1,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,252.28734489999624,(-2.50874982116;-1.8421878165;3.95271780641;-2.17877418082),40.78000001,40.7800050868,0,3
21,2,4,80,0.5,0.6,differenceVector,exponential,150,4,132080,11,130.8673240000062,(1.11756137639;-2.01177863151;0.575879668694;3.00020009058),-1.5999999900000001,-1.59999928918,1,1
21,3,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,251.91314209999837,(3.12707393591;-0.769055090924;-1.56441716381;1.94510705693),-370.83999998999997,-370.839999177,0,3
22,1,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,240.61859520000144,(1.33558003062;1.10198054954;2.62768815505;0.414722184837),-999.99999999,-999.998912001,0,3
22,2,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,257.9083219000022,(-1.00391974365;-1.38203977895;-2.1937398397;2.16968540102),1000.00000001,1000.00045791,0,3
22,3,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,255.96358400000463,(2.66582575985;2.32348872916;3.12242855148;-0.25850403372),-49.12999999,-49.1260400936,0,3
23,1,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,273.0380762999994,(3.25212677079;1.93902343078;-0.0175765814093;-4.34656040535),6.87000001,7.20449967558,0,3
23,2,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,278.1895454999976,(2.95784271993;2.8243676488;2.87505553618;1.37167320816),0.01000001,0.160123914921,0,3
23,3,4,80,0.5,0.6,differenceVector,exponential,150,4,252080,21,283.30232290000276,(4.46621435359;-2.54222083082;2.52647537114;-0.0563906327123),-130.60999999,-130.233379992,0,3
24,1,4,80,0.5,0.6,differenceVector,exponential,150,4,264080,22,262.26385299999674,(-1.20172737165;1.06672689413;1.4261978457;-0.707588424113),102.61000001,105.110936953,0,3
24,2,4,80,0.5,0.6,differenceVector,exponential,150,4,264080,22,266.5781988000017,(-1.37407524116;1.26537954027;-0.802162814709;1.26061341358),93.30000000999999,94.5366909275,0,3
24,3,4,80,0.5,0.6,differenceVector,exponential,150,4,264080,22,275.03412659999594,(0.992746568855;1.30377118976;1.07640574102;1.23734143806),13.640000010000001,14.5449695714,0,3
